Metric,Value,Category,Strategy
Total Return,0.1217,Overall,All
Sharpe Ratio,1.4633,Overall,All
Max Drawdown,2.0105,Overall,All
Win Rate,0.7333,Overall,All
Trades Count,45,Overall,All
Total Return,0.0550,Strategy,momentum_strategy
Sharpe Ratio,128.9220,Strategy,momentum_strategy
Max Drawdown,0.0010,Strategy,momentum_strategy
Win Rate,0.7500,Strategy,momentum_strategy
Trades Count,20,Strategy,momentum_strategy
Total Return,0.0667,Strategy,mean_reversion_strategy
Sharpe Ratio,11.7416,Strategy,mean_reversion_strategy
Max Drawdown,0.0400,Strategy,mean_reversion_strategy
Win Rate,0.6667,Strategy,mean_reversion_strategy
Trades Count,15,Strategy,mean_reversion_strategy
Total Return,0.0000,Strategy,breakout_strategy
Sharpe Ratio,-0.0012,Strategy,breakout_strategy
Max Drawdown,2.0000,Strategy,breakout_strategy
Win Rate,0.8000,Strategy,breakout_strategy
Trades Count,10,Strategy,breakout_strategy
Attribution,2750.0000,Attribution,momentum_strategy
Attribution,200.0000,Attribution,mean_reversion_strategy
Attribution,0.0000,Attribution,breakout_strategy
